'111,,Скважина,Дата,ГТМ,Метод,Характер работы,Состояние,"Время работы, ч",Время накопления,"Нефть, т","Вода, т","Жидкость, т","Попутный газ, м3","Простой, ч",Причина простоя,"Qж, т/сут","Обводненность (вес), %","Добыча растворенного газа, м3","Дебит попутного газа, м3/сут",Дата_2,Пласт МЭР,Куст,Тип скважины,Диаметр экспл.колонны,Диаметр НКТ,Диаметр штуцера,Глубина верхних дыр перфорации,Удлинение,Тип насоса,Производительность ЭЦН,Напор,Частота,Коэффициент сепарации,Глубина спуска,Буферное давление,Давление в линии,Пластовое давление,Динамическая высота,Затрубное давление,Давление на приеме,Забойное давление,Обводненность,Давление наcыщения,Газовый фактор,Температура пласта,SKIN,JD факт,Вязкость нефти в пластовых условиях,Вязкость воды в пластовых условиях,Вязкость жидкости в пласт. условиях,объемный коэффициент,Плотность нефти,Плотность воды,Высота перфорации,Удельный коэффициент,Коэффициент продуктивности,ТП - Забойное давление,ТП - JD опт.,ТП - SKIN,К пр от стимуляции,Глубина спуска.1,КВЧ,Время до псевдоуст-ся режима,Дата запуска после КРС,Дата пуска,Дата останова,Радиус контура питания,Номер бригады,Дата ввода в эксплуатацию,Назначение по проекту,Замерное забойное давление,Нефтенасыщенная толщина,Плотность раствора глушения,Глубина текущего забоя,Тип дополнительного оборудования,Мощность ПЭД,I X/X,Ток номинальный,Ток рабочий,Тип ГЗУ,ДНС,Пластовое давление начальное,Характеристический дебит жидкости,Время в работе,Время в накоплении,ГП - Забойное давление,ГП(ИДН) Дебит жидкости,ГП(ИДН) Дебит жидкости скорр-ый,ГП(ИДН) Прирост дефита нефти,ГП(ГРП) Дебит жидкости,ГП(ГРП) Дебит жидкости скорр-ый'
'10.0,66607ec44c073839d78dd9d8ed961e6b,2012-07-31,0.0,1.0,1.0,1.0,720.0,0.0,523.25,217.91,741.16,18837.0,0.0,0,24.71,29.4,18837.07,627.9,2015-04-07,2.0,1.0,1.0,146.8,67.7,0.0,2750.0,401.55,4.0,60.0,2349.0,55.5,0.7,2653.0,28.5,27.6,158.0,2504.0,29.0,42.0,49.924056002558785,23.0,80.9,36.0,87.0,-4.7,0.40426564009275706,42101.496527777796,1.67,0.5,1.66923215320952,1.12,0.87,1.03,8.0,2.65868240609483,0.260444223600788,44.3798828125,0.8270516406007801,-5.86493166912838,0.5113714631871871,2655.0,70.0,95.64199025843028,42110.625,42110.625,42079.0,250.0,0.0,42100.0,1.0,0.0,1.0,8.4,0.706423385637335,2819.6,100.0,14.0,38.5,20.43,1.0,1.0,231.0,114.21051731466999,0.0,0.0,37.6,29.0292433612717,29.0292433612717,1.3593901277158895,56.9977189266621,56.9977189266621'
'11.0,66607ec44c073839d78dd9d8ed961e6b,2012-08-30,0.0,1.0,1.0,1.0,744.0,0.0,528.05,241.07,769.12,19010.0,0.0,0,24.81,31.3,19009.69,613.22,2015-04-07,2.0,1.0,1.0,146.8,67.7,0.0,2750.0,401.55,4.0,60.0,2349.0,55.5,0.7,2653.0,28.5,27.6,158.0,2510.0,29.0,41.0,48.985539551475604,27.0,80.9,36.0,87.0,-4.7,0.403933239269094,42101.496527777796,1.67,0.5,1.66909868670918,1.12,0.87,1.03,8.0,2.63775164048945,0.258414510205779,44.450506591796895,0.8289768035422529,-5.8677396392823695,0.50856726911006,2655.0,70.0,96.3932090216421,42110.625,42110.625,42079.0,250.0,0.0,42100.0,1.0,0.0,1.0,8.4,0.706423385637335,2819.6,100.0,14.0,38.5,20.43,1.0,1.0,231.0,113.311382629721,0.0,0.0,37.6,28.871432086838304,28.871432086838304,1.18854651835102,56.8198177416879,56.8198177416879'
'12.0,7179b6f5c0880211b93c716f2c95acc1,2012-01-29,0.0,1.0,1.0,1.0,744.0,0.0,783.64,939.63,1723.27,28211.0,0.0,0,55.59,54.5,28211.04,910.03,2015-02-01,2.0,1.0,1.0,149.0,66.8,0.0,3065.0,687.05,1.0,45.0,2296.0,45.0,0.7,2975.0,21.0,20.0,0.0,1183.0,17.0,160.0,167.589003283334,52.0,80.9,36.0,87.0,-4.7,0.0,42036.7638888889,1.67,0.5,1.6682650043954297,1.12,0.87,1.03,7.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,76.0,0.0,42046.465277777796,42046.465277777796,42016.0,250.0,0.0,42035.0,2.0,0.0,1.0,10.7,0.0,3137.2,70.0,0.0,0.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0'
'13.0,7179b6f5c0880211b93c716f2c95acc1,2012-02-29,0.0,1.0,1.0,1.0,720.0,0.0,919.76,817.63,1737.38,33111.0,0.0,0,57.91,47.1,33111.22,1103.71,2015-02-01,2.0,1.0,1.0,149.0,66.8,0.0,3065.0,687.05,1.0,45.0,2296.0,47.0,0.7,2975.0,21.0,20.0,234.0,2028.0,17.4,125.0,132.55439444974,50.0,80.9,36.0,87.0,-4.7,0.4214507527172921,42036.7638888889,1.67,0.5,1.6683316683316698,1.12,0.87,1.03,7.0,6.32177131608693,0.542162469253054,45.0,0.637962539114395,-5.506555854791371,0.821133480415232,0.0,76.0,40.2014703073378,42046.465277777796,42046.465277777796,42016.0,250.0,0.0,42035.0,2.0,136.0,1.0,10.7,1.03324291932126,3137.2,70.0,0.0,0.0,0.0,1.0,1.0,231.0,237.621904129146,0.0,0.0,30.0,105.02646092084998,105.02646092084998,21.761510500569898,159.068080663067,159.068080663067'
'14.0,7179b6f5c0880211b93c716f2c95acc1,2012-03-30,0.0,1.0,1.0,1.0,744.0,0.0,929.33,827.91,1757.25,33456.0,0.0,0,56.69,47.1,33456.02,1079.23,2015-02-01,2.0,1.0,1.0,149.0,66.8,0.0,3065.0,687.05,1.0,45.0,2296.0,53.0,0.7,2975.0,23.5,23.0,234.0,2307.0,25.9,86.0,93.44740721381191,43.0,80.9,36.0,87.0,-4.7,0.4214507527172921,42036.7638888889,1.67,0.5,1.6685650340707,1.12,0.87,1.03,7.0,5.22723185439699,0.448230792126596,40.0,0.6747935147183279,-5.59211119940894,0.7180616284678639,2975.0,76.0,48.6261292001414,42046.465277777796,42046.465277777796,42016.0,250.0,0.0,42035.0,2.0,113.0,1.0,10.7,1.03324291932126,3137.2,70.0,0.0,0.0,0.0,1.0,1.0,231.0,196.480499603896,0.0,0.0,33.0,85.8388759222367,85.8388759222367,11.325798569837199,137.513093953535,137.513093953535'
'15.0,7179b6f5c0880211b93c716f2c95acc1,2012-04-30,0.0,1.0,1.0,1.0,720.0,0.0,758.06,667.1,1425.16,27290.0,0.0,0,47.51,46.8,27290.02,909.67,2015-02-01,2.0,1.0,1.0,149.0,66.8,0.0,3065.0,687.05,1.0,45.0,2296.0,53.0,0.7,2975.0,24.5,23.5,228.7,2612.0,25.4,50.0,57.4590849924785,44.0,80.9,36.0,87.0,-4.7,0.416730679024589,42036.7638888889,1.67,0.5,1.66853169211094,1.12,0.87,1.03,7.0,3.99459920589926,0.342540410573045,40.0,0.731753392066118,-5.70746539661891,0.5950667577205649,2975.0,76.0,63.629655762270296,42046.465277777796,42046.465277777796,42016.0,250.0,0.0,42035.0,2.0,59.0,1.0,10.7,1.00984040875544,3137.2,70.0,0.0,0.0,0.0,1.0,1.0,231.0,150.148466636737,0.0,0.0,33.5,63.72129396334889,63.72129396334889,2.7874144189435697,110.69766551950501,110.69766551950501'
'16.0,7179b6f5c0880211b93c716f2c95acc1,2012-05-30,0.0,1.0,1.0,1.0,744.0,0.0,612.63,538.51,1151.14,22055.0,0.0,0,37.13,46.8,22054.57,711.44,2015-02-01,2.0,1.0,1.0,149.0,66.8,0.0,3065.0,687.05,1.0,45.0,2296.0,56.0,0.7,2975.0,24.5,23.5,228.7,2930.0,25.4,30.0,37.5017415323578,42.0,80.9,36.0,87.0,-4.7,0.404641324565373,42036.7638888889,1.67,0.5,1.66859837736302,1.12,0.87,1.03,7.0,3.04938780840565,0.261477247964837,37.5017415323578,0.7940016372970641,-5.8146027641091,0.492883676230636,3000.0,76.0,83.35611828207941,42046.465277777796,42046.465277777796,42016.0,250.0,0.0,42035.0,2.0,38.0,1.0,10.7,1.00984040875544,3137.2,70.0,0.0,0.0,25.34,1.0,1.0,231.0,114.61998563878299,0.0,0.0,33.5,48.595440909732396,48.595440909732396,0.30045948305097,91.60223212559792,91.60223212559792'
'17.0,7179b6f5c0880211b93c716f2c95acc1,2012-06-30,0.0,1.0,1.0,1.0,744.0,0.0,459.45,519.02,978.47,16540.0,0.0,0,31.56,53.0,16540.13,533.55,2015-02-01,2.0,1.0,1.0,149.0,66.8,0.0,3065.0,687.05,1.0,45.0,2296.0,57.0,0.7,2975.0,26.5,25.6,208.0,2950.0,26.8,29.0,36.50485129936229,42.0,80.9,36.0,87.0,-4.7,0.401708208846986,42036.7638888889,1.67,0.5,1.66859837736302,1.12,0.87,1.03,7.0,2.63976196147268,0.226352873539237,36.50485129936229,0.828791161447234,-5.8674694370257985,0.44536927711575,3000.0,76.0,96.29092871070341,42046.465277777796,42046.465277777796,42016.0,250.0,0.0,42035.0,2.0,38.0,1.0,10.7,0.91843815050779,3137.2,70.0,0.0,0.0,25.34,1.0,1.0,231.0,99.22302348024412,0.0,0.0,35.6,37.1181237101644,37.1181237101644,0.0596052241489605,73.03318781072709,73.03318781072709'
'18.0,4168b815f40f9c99a7e061ef485edf84,2012-04-30,0.0,1.0,1.0,1.0,720.0,0.0,1276.49,577.59,1854.08,45954.0,0.0,0,61.8,31.2,45953.64,1531.79,2015-05-19,2.0,1.0,1.0,146.8,68.1,0.0,2496.0,141.56,4.0,60.0,2340.0,56.0,0.7,2405.0,28.1,26.380000000000006,99.68,2283.6,28.02,35.0,42.36075133612243,21.0,80.9,36.0,87.0,-4.7,0.30433300207558345,42143.1701388889,1.67,0.5,1.6692989067398898,1.12,0.8699999999999999,1.03,8.0,5.4746879303068745,0.5362702219326684,40.29383896264212,0.5007315316350912,-4.379094881228688,0.7925329693073084,2405.0,68.0,30.294785621234123,42152.3923611111,42152.3923611111,42098.0,250.0,0.0,42142.0,2.0,35.6,1.0,13.7,0.444538828766076,2567.2,100.0,14.0,38.5,21.9,1.0,1.0,231.0,235.1792524083922,0.0,0.0,36.38,42.11668055161128,42.11668055161128,0.644381943766052,62.22744161704489,62.22744161704489'
'19.0,4168b815f40f9c99a7e061ef485edf84,2012-05-30,0.0,1.0,1.0,1.0,744.0,0.0,1298.27,530.18,1828.45,46738.0,0.0,0,58.98,29.0,46737.54,1507.66,2015-05-19,2.0,1.0,1.0,146.8,68.1,0.0,2496.0,141.56,4.0,60.0,2340.0,55.0,0.7,2405.0,27.0,26.0,0.0,2190.0,27.4,46.0,53.3762031027532,26.0,80.9,36.0,87.0,-4.7,0.0,42143.1701388889,1.67,0.5,1.66913205133331,1.12,0.87,1.03,8.0,0.0,0.0,43.0416412353516,0.0,0.0,0.0,2405.0,86.0,0.0,42152.3923611111,42152.3923611111,42098.0,250.0,0.0,42142.0,2.0,53.0,1.0,13.7,0.0,2567.2,100.0,14.0,38.5,21.9,1.0,1.0,231.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0'
'20.0,4168b815f40f9c99a7e061ef485edf84,2012-06-30,0.0,1.0,1.0,1.0,744.0,0.0,1163.19,349.17,1512.36,41875.0,0.0,0,48.79,23.1,41874.88,1350.8,2015-05-19,2.0,1.0,1.0,146.8,68.1,0.0,2496.0,141.56,4.0,60.0,2340.0,56.5,0.7,2405.0,27.0,25.4,124.6,2231.0,25.6,30.0,37.4441003545539,26.0,80.9,36.0,87.0,-4.7,0.378824370676564,42143.1701388889,1.67,0.5,1.66913205133331,1.12,0.87,1.03,8.0,8.20877533683374,0.8041789162635959,37.4441003545539,0.5920514120774389,-5.38500350609962,1.13031954068283,2405.0,86.0,30.9749527035922,42152.3923611111,42152.3923611111,42098.0,250.0,0.0,42142.0,2.0,45.0,1.0,13.7,0.5556735359575949,2567.2,100.0,14.0,38.5,21.9,1.0,1.0,231.0,352.628984789786,0.0,0.0,35.4,63.9094232309143,63.9094232309143,0.5854866760626221,89.82835591774321,89.82835591774321'
'21.0,4168b815f40f9c99a7e061ef485edf84,2012-07-31,0.0,1.0,1.0,1.0,719.0,0.0,1061.04,229.05,1290.09,38197.0,1.0,1,43.06,17.8,38197.44,1275.02,2015-05-19,2.0,1.0,1.0,146.8,68.1,0.0,2496.0,141.56,4.0,60.0,2340.0,57.5,0.7,2405.0,28.5,27.5,124.6,2260.0,29.3,33.0,40.357524534133894,20.0,80.9,36.0,87.0,-4.7,0.381652970011359,42143.1701388889,1.67,0.5,1.6693322670931598,1.12,0.87,1.03,8.0,7.09252238824661,0.6947410119817309,40.357524534133894,0.6170817427887061,-5.45351516273751,1.01778200025514,2405.0,56.0,35.8542298020345,42152.3923611111,42152.3923611111,42098.0,250.0,0.0,42142.0,2.0,40.0,1.0,13.7,0.5556735359575949,2567.2,100.0,14.0,38.5,21.9,1.0,1.0,231.0,304.67747827667006,0.0,0.0,37.5,54.136608670565,54.136608670565,0.791079634713215,79.30907332300421,79.30907332300421'
'22.0,4168b815f40f9c99a7e061ef485edf84,2012-08-30,0.0,1.0,1.0,1.0,744.0,0.0,993.18,213.64,1206.82,35754.0,0.0,0,38.93,17.7,35754.34,1153.37,2015-05-19,2.0,1.0,1.0,146.8,68.1,0.0,2496.0,141.56,4.0,60.0,2340.0,57.0,0.7,2405.0,27.0,26.0,124.6,2372.0,28.6,33.0,40.306650597845,16.0,80.9,36.0,87.0,-4.7,0.380446950448145,42143.1701388889,1.67,0.5,1.66946577095329,1.12,0.87,1.03,8.0,6.440404763167571,0.630813026435749,40.306650597845,0.6345165191343279,-5.4980429126795896,0.9502387087554208,2405.0,56.0,39.4877766510868,42152.3923611111,42152.3923611111,42098.0,250.0,0.0,42142.0,2.0,40.0,1.0,13.7,0.5556735359575949,2567.2,100.0,14.0,38.5,21.9,1.0,1.0,231.0,276.664094226152,0.0,0.0,36.0,49.506656611504404,49.506656611504404,1.10106465168743,74.5754121773918,74.5754121773918'
'23.0,4168b815f40f9c99a7e061ef485edf84,2012-09-30,0.0,1.0,1.0,1.0,720.0,0.0,932.09,154.12,1086.21,33555.0,0.0,0,36.21,14.2,33555.31,1118.51,2015-05-19,2.0,1.0,1.0,146.8,68.1,0.0,2496.0,141.56,4.0,60.0,2340.0,54.0,0.7,2405.0,31.0,27.0,124.6,2365.0,29.2,33.0,40.31927809132621,17.0,80.9,36.0,87.0,-4.7,0.38074071924184905,42143.1701388889,1.67,0.5,1.66943239298638,1.12,0.87,1.03,8.0,5.6317371632864495,0.551618154982266,40.31927809132621,0.6600079841749829,-5.55891282462672,0.8643245968431509,2405.0,56.0,45.1569689494571,42152.3923611111,42152.3923611111,42098.0,250.0,0.0,42142.0,2.0,0.0,1.0,13.7,0.5556735359575949,2567.2,100.0,14.0,38.5,21.9,1.0,1.0,231.0,241.925704749353,0.0,0.0,37.0,43.0307142450727,43.0307142450727,0.7442787563669929,67.4243666670852,67.4243666670852'
'24.0,6ba10154fe2777a08c5e9d1b686c5e2e,2012-04-30,0.0,4.0,1.0,1.0,392.0,0.0,376.29,531.92,908.21,13546.0,0.0,0,55.6,58.6,13546.44,829.37,2015-05-31,2.0,1.0,1.0,146.8,68.8,0.0,2405.0,45.92,15.0,44.0,2400.0,53.7,0.7,2310.0,27.8,26.9,139.04,2174.4,29.12,38.2,46.34982538441138,44.2,80.9,36.0,87.0,-4.7,0.3989342943763855,42155.527777777796,1.67,0.5,1.6685250618197038,1.12,0.8699999999999999,1.03,8.0,4.176885796677338,0.40933523252761816,44.80443539352965,0.7281434691487841,-5.695593687972844,0.698490793355782,2310.0,69.2,63.38815690243278,42169.6388888889,42169.6388888889,42139.0,250.0,0.0,42155.0,2.0,49.8,1.0,9.4,0.6188514166539499,2468.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,179.4288353167822,0.0,0.0,36.9,38.06244745284325,38.06244745284325,1.1714129234238642,65.30093357891563,65.30093357891563'
