,Скважина,Дата,ГТМ,Метод,Характер работы,Состояние,"Время работы, ч",Время накопления,"Нефть, т","Попутный газ, м3","Простой, ч",Причина простоя,"Обводненность (вес), %","Добыча растворенного газа, м3","Дебит попутного газа, м3/сут",Тип скважины,Диаметр НКТ,Диаметр штуцера,Глубина верхних дыр перфорации,Удлинение,Тип насоса,Производительность ЭЦН,Напор,Частота,Коэффициент сепарации,Глубина спуска,Буферное давление,Давление в линии,Пластовое давление,Динамическая высота,Затрубное давление,Давление на приеме,Забойное давление,Обводненность,Давление наcыщения,Газовый фактор,Температура пласта,JD факт,Вязкость нефти в пластовых условиях,Вязкость воды в пластовых условиях,Вязкость жидкости в пласт. условиях,объемный коэффициент,Плотность нефти,Плотность воды,Высота перфорации,Удельный коэффициент,Коэффициент продуктивности,ТП - Забойное давление,ТП - JD опт.,ТП - SKIN,К пр от стимуляции,Глубина спуска.1,КВЧ,Время до псевдоуст-ся режима,Дата запуска после КРС,Дата пуска,Дата останова,Радиус контура питания,Номер бригады,Дата ввода в эксплуатацию,Назначение по проекту,Замерное забойное давление,Нефтенасыщенная толщина,Плотность раствора глушения,Глубина текущего забоя,Тип дополнительного оборудования,Мощность ПЭД,I X/X,Ток номинальный,Ток рабочий,Тип ГЗУ,ДНС,Пластовое давление начальное,Характеристический дебит жидкости,Время в работе,Время в накоплении,ГП - Забойное давление,ГП(ИДН) Дебит жидкости,ГП(ИДН) Дебит жидкости скорр-ый,ГП(ИДН) Прирост дефита нефти,ГП(ГРП) Дебит жидкости,ГП(ГРП) Дебит жидкости скорр-ый
10.0,cda627efd1549ecb72fa7931685d5aa3,2012-03-30,0.0,1.0,1.0,1.0,744.0,0.0,"800,99",28836.0,0.0,0,"80,4","28835,75","930,19",2.0,73.0,32.0,2817.13,461.08,21.0,100.0,2265.0,52.6,0.7,2570.0,24.0,23.0,234.0,1415.0,10.1,115.0,133.632839772719,69.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.66769857596517,1.12,0.87,1.03,6.25,49.99646979767321,1.28528095950787,52.0400390625,0.0,0.0,0.0,2570.0,76.0,4.2344333020002,42031.375,42031.375,41956.0,250.0,0.0,42006.0,1.0,140.0,0.0,1.04284713821863,3376.35,1.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,1677.9113342505402,0.0,0.0,33.0,249.682538330458,249.682538330458,32.5480805877245,0.0,0.0
11.0,cda627efd1549ecb72fa7931685d5aa3,2012-04-30,0.0,1.0,1.0,1.0,718.0,0.0,"709,37",25537.0,2.0,1,"82,7","25537,36","853,62",2.0,73.0,32.0,2817.13,461.08,21.0,100.0,2265.0,52.6,0.7,2570.0,24.5,23.5,246.3,1618.0,10.2,91.0,96.4179840644462,80.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6673322683706102,1.12,0.87,1.03,6.25,33.731813489502,0.8673488889814329,53.1904296875,0.0,0.0,0.0,2570.0,76.0,6.27479502943524,42031.375,42031.375,41956.0,250.0,0.0,42006.0,1.0,97.0,3.6,1.09766346215063,3376.35,1.0,45.0,0.0,0.0,0.0,1.0,1.0,231.0,1132.059771578,0.0,0.0,33.5,180.25347338673697,180.25347338673697,8.74410436929227,0.0,0.0
12.0,3a64ba1b382ffeb0c514a4a569acff44,2011-10-01,0.0,2.0,1.0,1.0,11.0,0.0,"8,64",311.0,0.0,0,"67,5","311,22","679,03",1.0,67.5,32.0,2788.0,417.51,13.0,45.0,2400.0,47.5,0.7,2678.0,19.35,18.425,235.0,1243.5,18.95,139.25,153.0,52.5,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6682483570561772,1.12,0.87,1.03,9.0,19.676342601860227,0.7281731640452579,45.0,0.4785993567292976,-4.976428039120777,2.42371933485573,0.0,80.0,11.540505538423453,41973.625,41973.625,41942.0,250.0,0.0,41960.0,2.0,153.0,8.8,1.04092402836544,2854.0,0.0,100.0,14.0,38.5,0.0,1.0,1.0,231.0,950.9036957746181,0.0,0.0,28.425,142.72048982099096,142.72048982099096,33.826272629132426,474.894349985693,474.894349985693
13.0,3a64ba1b382ffeb0c514a4a569acff44,2011-10-31,0.0,1.0,1.0,1.0,742.0,0.0,"644,06",25747.0,2.0,1,"70,1","25747,29","832,80",1.0,67.5,32.0,2788.0,417.51,13.0,45.0,2400.0,47.5,0.7,2678.0,19.35,18.425,235.0,1243.5,18.95,139.25,153.0,52.5,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6682483570561772,1.12,0.87,1.03,9.0,19.676342601860227,0.7281731640452579,45.0,0.4785993567292976,-4.976428039120777,2.42371933485573,0.0,80.0,11.540505538423453,41973.625,41973.625,41942.0,250.0,0.0,41960.0,2.0,153.0,8.8,1.04092402836544,2854.0,0.0,100.0,14.0,38.5,0.0,1.0,1.0,231.0,950.9036957746181,0.0,0.0,28.425,142.72048982099096,142.72048982099096,33.826272629132426,474.894349985693,474.894349985693
14.0,3a64ba1b382ffeb0c514a4a569acff44,2011-12-01,0.0,1.0,1.0,1.0,744.0,0.0,"604,53",24633.0,0.0,0,"60,3","24633,48","794,63",1.0,67.5,32.0,2788.0,417.51,13.0,45.0,2400.0,45.0,0.7,2678.0,18.5,17.8,235.0,1042.0,15.7,152.0,170.0,60.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6679984019176999,1.12,0.87,1.03,9.0,28.2652221234902,1.04615384615385,45.0,0.43517970150015295,-4.77614471501736,3.22056498054446,0.0,72.0,7.49135376696381,41973.625,41973.625,41942.0,250.0,0.0,41960.0,2.0,170.0,8.8,1.04092402836544,2854.0,0.0,100.0,14.0,38.5,0.0,1.0,1.0,231.0,1365.98069686875,0.0,0.0,27.8,205.937509945386,205.937509945386,48.002253460994304,633.974759208696,633.974759208696
15.0,3a64ba1b382ffeb0c514a4a569acff44,2012-01-01,0.0,1.0,1.0,1.0,672.0,0.0,"496,37",18259.0,0.0,0,"57,6","18259,29","652,12",1.0,67.5,32.0,2788.0,417.51,13.0,45.0,2400.0,45.0,0.7,2678.0,18.1,17.1,235.0,1243.0,17.9,146.0,158.0,54.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6681983457865501,1.12,0.87,1.03,9.0,20.0029031947811,0.7402597402597401,45.0,0.47124491729226,-4.95200720830341,2.4677359604744704,0.0,72.0,10.5869712075094,41973.625,41973.625,41942.0,250.0,0.0,41960.0,2.0,158.0,8.8,1.04092402836544,2854.0,0.0,100.0,14.0,38.5,0.0,1.0,1.0,231.0,966.6854739732499,0.0,0.0,27.1,145.45342180485,145.45342180485,35.3990594063008,484.884723618691,484.884723618691
16.0,3a64ba1b382ffeb0c514a4a569acff44,2012-01-29,0.0,1.0,1.0,1.0,744.0,0.0,"582,52",20839.0,0.0,0,"54,2","20838,62","672,21",1.0,67.5,32.0,2788.0,417.51,13.0,45.0,2400.0,50.0,0.7,2678.0,18.8,17.8,235.0,1281.0,19.4,139.0,149.0,50.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6683316683316698,1.12,0.87,1.03,9.0,16.654094647432302,0.6162790697674421,45.0,0.492202170543165,-5.04236053718912,2.14579793554048,0.0,88.0,12.7168176572436,41973.625,41973.625,41942.0,250.0,0.0,41960.0,2.0,149.0,8.8,1.04092402836544,2854.0,0.0,100.0,14.0,38.5,0.0,1.0,1.0,231.0,804.846737550018,0.0,0.0,27.8,120.64100822156601,120.64100822156601,29.423838576381,420.05519752771204,420.05519752771204
17.0,3a64ba1b382ffeb0c514a4a569acff44,2012-02-29,0.0,1.0,1.0,1.0,720.0,0.0,"501,31",17837.0,0.0,0,"59,4","17836,87","594,56",1.0,67.5,32.0,2788.0,417.51,13.0,45.0,2400.0,50.0,0.7,2678.0,22.0,21.0,235.0,1408.0,22.8,120.0,135.0,46.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.66846501218879,1.12,0.87,1.03,9.0,13.783150441737304,0.51,45.0,0.5157706375816121,-5.13519969597322,1.86077846286351,0.0,88.0,15.366879521977,41973.625,41973.625,41942.0,250.0,0.0,41960.0,2.0,135.0,8.8,1.04092402836544,2854.0,0.0,100.0,14.0,38.5,0.0,1.0,1.0,231.0,666.101874706454,0.0,0.0,31.0,98.8500193121619,98.8500193121619,22.479939072853604,360.66271958767305,360.66271958767305
18.0,d147dc766cf90a35a2db9d26a82746aa,2010-07-01,1.0,2.0,1.0,1.0,46.0,0.0,"56,00",2072.0,0.0,0,"46,2","2072,00","1081,04",1.0,73.0,32.0,2513.0,174.35,22.0,60.0,2250.0,50.0,0.7,2414.97,17.849999999999994,16.85,67.0,2228.25,18.7,19.75,37.66958516570497,28.5,80.9,64.9,87.0,0.06309626069213227,1.67,0.5,1.6690486471086323,1.12,0.87,1.03,13.0,4.264774364357113,0.2278484802434837,26.85,0.2939295374258343,-2.685314778872247,0.9428863123713824,0.0,0.0,12.64176513255565,41516.0833333333,41542.068749999984,41534.48541666668,250.0,0.0,41506.0,1.0,16.5,10.8,0.3008145725097815,2594.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,297.70701026900576,0.0,0.0,26.85,21.138643001047374,21.138643001047374,0.40789344152497775,87.46386151800425,87.46386151800425
19.0,d147dc766cf90a35a2db9d26a82746aa,2010-08-01,0.0,1.0,1.0,1.0,720.0,0.0,"937,00",34904.0,0.0,0,"41,4","34904,00","1163,47",1.0,73.0,32.0,2513.0,174.35,22.0,60.0,2250.0,50.0,0.7,2414.97,17.849999999999994,16.85,67.0,2228.25,18.7,19.75,37.66958516570497,28.5,80.9,64.9,87.0,0.06309626069213227,1.67,0.5,1.6690486471086323,1.12,0.87,1.03,13.0,4.264774364357113,0.2278484802434837,26.85,0.2939295374258343,-2.685314778872247,0.9428863123713824,0.0,0.0,12.64176513255565,41516.0833333333,41542.068749999984,41534.48541666668,250.0,0.0,41506.0,1.0,16.5,10.8,0.3008145725097815,2594.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,297.70701026900576,0.0,0.0,26.85,21.138643001047374,21.138643001047374,0.40789344152497775,87.46386151800425,87.46386151800425
20.0,d147dc766cf90a35a2db9d26a82746aa,2010-08-31,0.0,1.0,1.0,1.0,744.0,0.0,"975,00",36457.0,0.0,0,"33,2","36457,00","1176,03",1.0,73.0,32.0,2513.0,174.35,22.0,60.0,2250.0,50.0,0.7,2414.97,17.0,16.0,0.0,2123.0,18.4,0.0,47.371650050880696,32.0,80.9,64.9,87.0,0.0,1.67,0.5,1.6689318835945002,1.12,0.87,1.03,13.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,41516.0833333333,41516.0833333333,41506.0,250.0,0.0,41506.0,1.0,0.0,10.8,0.0,2594.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
21.0,d147dc766cf90a35a2db9d26a82746aa,2010-10-01,0.0,1.0,1.0,1.0,720.0,0.0,"905,00",34129.0,0.0,0,"29,5","34129,00","1137,63",1.0,73.0,32.0,2513.0,174.35,22.0,60.0,2250.0,50.0,0.7,2414.97,17.3,16.5,0.0,2212.0,18.6,29.0,37.3066906119392,30.0,80.9,64.9,87.0,0.0,1.67,0.5,1.6689986008395001,1.12,0.87,1.03,13.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,41516.0833333333,41516.0833333333,41506.0,250.0,0.0,41506.0,1.0,0.0,10.8,0.0,2594.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0
22.0,d147dc766cf90a35a2db9d26a82746aa,2010-10-31,0.0,1.0,1.0,1.0,742.0,0.0,"758,00",29555.0,2.0,1,"26,7","29555,00","955,96",1.0,73.0,32.0,2513.0,174.35,22.0,60.0,2250.0,50.0,0.7,2414.97,17.8,16.8,134.0,2219.0,18.5,27.0,35.0,27.0,80.9,64.9,87.0,0.127377185977965,1.67,0.5,1.66909868670918,1.12,0.87,1.03,13.0,9.65698287305937,0.515939848916885,26.8,0.566124587577,-5.307650376496059,2.06623145974554,0.0,0.0,21.9410614207989,41516.0833333333,41516.0833333333,41506.0,250.0,0.0,41506.0,1.0,35.0,10.8,0.601629145019563,2594.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,674.115733621204,0.0,0.0,26.8,48.0278429099858,48.0278429099858,1.28788303213201,192.34149130496002,192.34149130496002
23.0,d147dc766cf90a35a2db9d26a82746aa,2010-12-01,0.0,1.0,1.0,1.0,742.0,0.0,"562,00",22642.0,2.0,1,"29,3","22642,00","732,36",1.0,73.0,32.0,2513.0,174.35,22.0,60.0,2250.0,50.0,0.7,2414.97,19.3,18.1,134.0,2359.0,19.3,23.0,31.0,25.0,80.9,64.9,87.0,0.125007856790564,1.67,0.5,1.6691654172913502,1.12,0.87,1.03,13.0,7.402114584369088,0.39545407205705,28.1,0.6095935621263371,-5.4336087389929295,1.70531378973999,0.0,0.0,28.6259991094237,41516.0833333333,41620.025,41619.9416666667,250.0,0.0,41506.0,1.0,31.0,10.8,0.601629145019563,2594.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,516.712307454819,0.0,0.0,28.1,36.5267290942037,36.5267290942037,0.343690733967901,157.513954767057,157.513954767057
24.0,db9947ee0fbc7f53447ab68bca6af0a1,2011-10-01,0.0,3.0,1.0,2.0,0.0,0.0,"0,00",0.0,0.0,0,"0,0","0,00","0,00",2.0,50.175,0.0,3232.42,871.71,21.0,125.0,2300.0,46.95,0.7,2900.0,19.3,18.325,238.0,1604.75,11.95,120.0,127.429251573502,53.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.668231681416653,1.12,0.87,1.03,6.14,57.47103049302723,1.4509802814223824,45.0,0.0,0.0,0.0,0.0,92.0,3.764145734808817,41984.395844907405,41984.3958333333,41890.0,250.0,0.0,41945.0,1.0,138.0,586.5,1.05857983403298,3699.54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,1894.8158354753275,0.0,0.0,28.325,288.6512891993932,288.6512891993932,52.56897789945162,0.0,0.0
25.0,db9947ee0fbc7f53447ab68bca6af0a1,2011-10-31,0.0,2.0,1.0,1.0,492.0,0.0,"864,65",31128.0,2.0,1,"74,5","31127,54","1518,42",2.0,50.175,0.0,3232.42,871.71,21.0,125.0,2300.0,46.95,0.7,2900.0,19.3,18.325,238.0,1604.75,11.95,120.0,127.429251573502,53.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.668231681416653,1.12,0.87,1.03,6.14,57.47103049302723,1.4509802814223824,45.0,0.0,0.0,0.0,0.0,92.0,3.764145734808817,41984.395844907405,41984.3958333333,41890.0,250.0,0.0,41945.0,1.0,138.0,586.5,1.05857983403298,3699.54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,1894.8158354753275,0.0,0.0,28.325,288.6512891993932,288.6512891993932,52.56897789945162,0.0,0.0
26.0,db9947ee0fbc7f53447ab68bca6af0a1,2011-12-01,0.0,1.0,1.0,1.0,744.0,0.0,"1732,17",70583.0,0.0,0,"58,0","70582,87","2276,87",2.0,0.0,0.0,3232.42,871.71,21.0,125.0,2300.0,43.9,0.7,2900.0,18.5,17.5,238.0,1330.0,13.1,144.0,151.502279650459,58.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6680650445483205,1.12,0.87,1.03,6.14,71.8858358605053,1.81507673688458,45.0,0.0,0.0,0.0,0.0,92.0,2.945687918512069,41984.395844907405,41984.3958333333,41890.0,250.0,0.0,41945.0,1.0,156.0,586.5,1.05857983403298,3699.54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,2370.0709551639497,0.0,0.0,27.5,362.573144403303,362.573144403303,75.11642696496679,0.0,0.0
27.0,db9947ee0fbc7f53447ab68bca6af0a1,2012-01-01,0.0,1.0,1.0,1.0,672.0,0.0,"1529,53",56264.0,0.0,0,"57,6","56264,29","2009,44",2.0,66.9,0.0,3232.42,871.71,21.0,125.0,2300.0,43.9,0.7,2900.0,18.0,17.1,238.0,1589.0,11.0,125.0,132.416598109399,52.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6682650043954297,1.12,0.87,1.03,6.14,54.39672403850661,1.3733219180628402,45.0,0.0,0.0,0.0,0.0,92.0,3.89322382807011,41984.395844907405,41984.3958333333,41890.0,250.0,0.0,41945.0,1.0,145.0,586.5,1.05857983403298,3699.54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,1793.45616777568,0.0,0.0,27.1,273.670405236796,273.670405236796,53.7327612268859,0.0,0.0
28.0,db9947ee0fbc7f53447ab68bca6af0a1,2012-01-29,0.0,1.0,1.0,1.0,744.0,0.0,"1688,91",60418.0,0.0,0,"56,6","60418,06","1948,97",2.0,66.9,0.0,3232.42,871.71,21.0,125.0,2300.0,50.0,0.7,2900.0,18.7,17.7,238.0,1704.0,10.5,112.0,119.42786619431999,53.0,80.9,36.0,87.0,0.141438644408783,1.67,0.5,1.6682316744251102,1.12,0.87,1.03,6.14,55.451994331785,1.3999916731872701,45.0,0.0,0.0,0.0,0.0,92.0,3.81905815399661,41984.395844907405,41984.3958333333,41890.0,250.0,0.0,41945.0,1.0,145.0,586.5,1.05857983403298,3699.54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,231.0,1828.2483551656894,0.0,0.0,27.7,278.76211752348996,278.76211752348996,46.108429855355,0.0,0.0
